"Carimbo de data/hora","Termo de consentimento","Como se identifica?","""Qual é a sua cor ou raça/etnia?","Qual sua Idade?","Qual o eixo do seu curso?","Duração em semestres?","Qual semestre se encontra?","Quanto sua rotina de trabalho interfere nos estudos?","Qual o modelo de trabalho?","Marque até 4 características se aplicam ao seu trabalho","Quanto sua rotina de casa interfere nos estudos?","Atualmente mora só ou divide sua casa?","Sente pressionado por parentes e familiares sobre seus estudos?","Marque até 4  características que se aplicam a sua casa.","Tem um ambiente separado para seus estudos?","Dado contexto de ensino a distancia, sente falta de contato presencial com professores e colegas de sala:","Quanto concorda com a afirmação O estudo online dificulta o aprendizado?","Em uma escala de 1 a 5, o quanto o período de provas é estressante pra você?","Resuma em uma palavra como se sente no período de provas.","Sente pressionado por seus colegas de aula ou grupo?","Em poucas palavras quais dificuldades você sente em realizar trabalhos em grupo?","Qual estratégia de enfrentamento você usa como estudante?","Marque abaixo até 3 hábitos que tem.","Quanto esse(es) hábito(os) ajuda(am) com seu stress nos estudos? ","Marque abaixo até 3 vícios que tem.","O quanto esse(es) vício(os) contribui(em) no seu stress nos estudos?","Faz acompanhamento psicológico ou cuidado a saúde mental?","Utiliza do serviço público ou privado para saúde mental?","Nota melhoras na sua gestão de estresse, ou stress, com o uso de serviços de saúde mental?"
"2025/10/19 10:28:20 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Pardo","27","Computação","8 semestres","6","5","Presencial","Agitado;Desafiador;Sobrecarregante;Imprevisível","5","Divido","1","Seguro;Barulhento","Não","5","2","5","Sobrecarregada","5","A falta de diálogo, respeito e empatia","Isolamento Temporário, toma tempo para si e processar o stress.","Exercicios Fisicos;Boa alimentação;Ler","3","Autocobrança;Isolamento;Hábitos alimentares disfuncionais (pular refeições, compulsão);Trocar dia por noite regularmente;Vício em estudo (ignorar saúde por produtividade)","5","Não","Não se aplica.","Não se aplica"
"2025/10/20 10:53:01 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","27","Computação","8 semestres","5","4","Hibrido","Organizado;Silencioso;Monótono;Produtivo;Colaborativo;Dinâmico;Desafiador","2","Divido casa com família ","2","Confortável;Organizado;Tranquilo;Harmonioso;Seguro;Aconchegante;Silencioso;Acolhedor","Não","5","5","5","Perdida e atrasada ","1","principalmente a comunicação, impossível seguir com projeto integrador com a comunicação escassa dos grupos.","Autocuidado, busca atividades para relaxar a mente.","Exercicios Fisicos;Boa alimentação;Passear ao Ar Livre;Boa rotina de sono;Ouvir musica;Tempo com a familia;Serviço de apoio a saúde mental","3","Comparação social excessiva (redes, notas);Autocobrança;Hábitos alimentares disfuncionais (pular refeições, compulsão)","3","Sim","Privado","Sim"
"2025/10/20 5:40:15 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","51","Licenciatura","8 semestres","5","5","Presencial","Organizado;Produtivo;Sobrecarregante;Hierarquizado rigidamente","2","Divide","1","Organizado;Seguro;Barulhento","Sim","3","3","2","Tenso.","1","Lidar com a desorganização dos demais.","Distrações, busca fontes de prazeres ou vícios para relaxar.","Exercicios Fisicos;Boa alimentação;Ouvir musica","4","Autocobrança;Vício em estudo (ignorar saúde por produtividade)","4","Não","Não se aplica.","Não se aplica"
"2025/10/22 11:13:31 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","27","Computação","8 semestres","4","4","Hibrido","Organizado;Flexível;Colaborativo;Desafiador","2","So","1","Tranquilo;Silencioso","Sim","1","1","4","Exausto","1","Nenhuma","Isolamento Temporário, toma tempo para si e processar o stress.","Passear ao Ar Livre;Sair com amigos;Ouvir musica","3","Comparação social excessiva (redes, notas);Autocobrança;Hábitos alimentares disfuncionais (pular refeições, compulsão)","5","Sim","Privado","Sim"
"2025/10/22 2:45:29 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","48","Computação","8 semestres","5","1","Não trabalho","Não trabalho","2","Divido","1","Confortável;Organizado;Tranquilo;Seguro","Sim","1","1","4","Ansioso","1","Não tenho dificuldade, adapto-me bem! ","Autocuidado, busca atividades para relaxar a mente.","Exercicios Fisicos;Boa alimentação;Tempo com a familia","5","Autocobrança","3","Não","Não se aplica.","Não se aplica"
"2025/10/22 3:39:35 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Pardo","35","Computação","10 semestres","9 ","3","Presencial","Barulhento;Dinâmico;Desafiador;Imprevisível","3","Divido ","3","Confortável;Harmonioso;Seguro;Silencioso","Não","3","1","4","Ansioso ","1","Organizar o tempo que todos podem participar das atividades ","Isolamento Temporário, toma tempo para si e processar o stress.","Exercicios Fisicos;Ouvir musica;Tempo com a familia","3","Trocar dia por noite regularmente;Dependência de alarmes múltiplos","4","Não","Não se aplica.","Não se aplica"
"2025/10/22 9:47:29 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Branco","25","Computação","6 semestres","6","4","Hibrido","Flexível;Colaborativo;Desafiador","3","Divido ","1","Confortável;Organizado;Tranquilo","Não","2","2","3","Focado","1","Lidar com a falta de comprometimento de alguns integrantes ","Analisar a situação, lidar com a situação com inteligência.","Exercicios Fisicos;Boa alimentação;Ouvir musica","5","Autocobrança;Trocar dia por noite regularmente","4","Não","Não se aplica.","Não se aplica"
"2025/10/23 10:49:34 AM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Pardo","57","Computação","10 semestres","7","4","Presencial","Estressante;Flexível;Imprevisível;Instável","3","Familia","1","Confortável;Organizado;Tranquilo;Harmonioso;Aconchegante;Silencioso","Não","2","1","5","Agitado","1","Cursos e cidades diferentes","Analisar a situação, lidar com a situação com inteligência.","Passear ao Ar Livre;Boa rotina de sono;Tempo com a familia","5","Não se aplica","1","Não","Não se aplica.","Não se aplica"
"2025/10/28 9:44:14 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Mulher Cis","Branco","38","Computação","6 semestres","5","5","Presencial","Agitado;Caotico;Barulhento;Estressante;Produtivo;Desafiador;Sobrecarregante;Imprevisível","5","Moro com marido e filhos","1","Confortável;Harmonioso;Seguro;Aconchegante;Acolhedor;Desorganizado;Barulhento;Cansativo","Não","3","3","3","Muito ansiosa!! ","2","Por não ter intimidade fica difícil a organização ","Analisar a situação, lidar com a situação com inteligência.","Hidratação;Ouvir musica;Tempo com a familia","3","Autocobrança","3","Não","Público","Sim"
"2025/11/02 5:53:20 PM GMT-3","Eu concordo em participar desta pesquisa e confirmo que li e compreendi as informações acima.","Homem Cis","Pardo","37","Computação","6 semestres","3","1","Presencial","Agitado;Barulhento;Sobrecarregante;Imprevisível;Hierarquizado rigidamente;Instável","1","4","1","Confortável;Organizado;Tranquilo;Harmonioso;Seguro;Aconchegante;Silencioso;Acolhedor;Barulhento","Sim","1","1","1","Cumprir meu dever.","1","Não há, estava previsto desde o início. ","Analisar a situação, lidar com a situação com inteligência.","Exercicios Fisicos;Boa alimentação;Passear ao Ar Livre;Hidratação;Ler;Ouvir musica;Tempo com a familia;Não se aplica","1","Não se aplica","1","Não","Não se aplica.","Não"
